Group,Hemisphere_Group,Category,Liu_Distinctiveness,Spatial_Drift_mm
OTC,left_preserved,Face,0.158,8.843
OTC,left_preserved,House,0.261,10.463
OTC,left_preserved,Object,0.424,7.07
OTC,left_preserved,Word,0.201,2.332
OTC,right_preserved,Face,0.218,7.428
OTC,right_preserved,House,0.382,3.657
OTC,right_preserved,Object,0.389,5.032
OTC,right_preserved,Word,0.035,19.778
control,control,Face,0.104,7.009
control,control,House,0.235,6.344
control,control,Object,0.251,4.283
control,control,Word,0.175,12.189
nonOTC,left_preserved,Face,0.089,3.374
nonOTC,left_preserved,House,0.093,4.911
nonOTC,left_preserved,Object,0.11,1.799
nonOTC,left_preserved,Word,0.166,8.837
nonOTC,right_preserved,Face,0.078,2.622
nonOTC,right_preserved,House,0.186,5.11
nonOTC,right_preserved,Object,0.189,2.668
nonOTC,right_preserved,Word,0.227,10.931
